,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
12,10251,28.0,100.0,2.0,3188.64,2014-01-13,Shipped,2.0,5.0,2004.0,Motorcycles,95.0,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium
13,10263,34.0,100.0,2.0,3676.76,2014-01-14,Shipped,2.0,6.0,2004.0,Motorcycles,95.0,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium
14,"10275,45,92.83,1,4177.35,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,""67, rue des Cinquante Otages"",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium",,,,,2014-01-15,,,,,,,,,,,,,,,,,,,
15,10285,36.0,100.0,6.0,4099.68,2014-01-16,Shipped,3.0,8.0,2004.0,Motorcycles,95.0,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
16,"10299,23,100,9,2597.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,95,S10_1678,""Toys of Finland, Co."",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small",,,,,2014-01-17,,,,,,,,,,,,,,,,,,,
17,10309,41.0,100.0,5.0,4394.38,2014-01-18,Shipped,4.0,10.0,2004.0,Motorcycles,95.0,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
18,10318,46.0,94.74,1.0,4358.04,2014-01-19,Shipped,4.0,11.0,2004.0,Motorcycles,95.0,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium
19,10329,42.0,100.0,1.0,4396.14,2014-01-20,Shipped,4.0,11.0,2004.0,Motorcycles,95.0,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
20,10341,41.0,100.0,9.0,7737.93,2014-01-21,Shipped,4.0,11.0,2004.0,Motorcycles,95.0,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
21,"10361,20,72.55,13,1451,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,""Monitor Money Building, 815 Pacific Hwy"",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small",,,,,2014-01-22,,,,,,,,,,,,,,,,,,,
22,"10375,21,34.91,12,733.11,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,""67, rue des Cinquante Otages"",,Nantes,,44000,France,EMEA,Labrune,Janine,Small",,,,,2014-01-23,,,,,,,,,,,,,,,,,,,
23,10388,42.0,76.36,4.0,3207.12,2014-01-24,Shipped,1.0,3.0,2005.0,Motorcycles,95.0,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium
24,"10403,24,100,7,2434.56,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,95,S10_1678,""UK Collectables, Ltd."",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small",,,,,2014-01-25,,,,,,,,,,,,,,,,,,,
25,"10417,66,100,2,7516.08,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,""C/ Moralzarzal, 86"",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large",,,,,2014-01-26,,,,,,,,,,,,,,,,,,,
26,10103,26.0,100.0,11.0,5404.62,2014-01-27,Shipped,1.0,1.0,2003.0,Classic Cars,214.0,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
27,"10112,29,100,1,7209.11,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,214,S10_1949,""Volvo Model Replicas, Co"",0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large",,,,,2014-01-28,,,,,,,,,,,,,,,,,,,
28,"10126,38,100,11,7329.06,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,214,S10_1949,""Corrida Auto Replicas, Ltd"",(91) 555 22 82,""C/ Araquil, 67"",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large",,,,,2014-01-29,,,,,,,,,,,,,,,,,,,
29,10140,37.0,100.0,11.0,7374.1,2014-01-30,Shipped,3.0,7.0,2003.0,Classic Cars,214.0,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Large
30,"10150,45,100,8,10993.5,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,214,S10_1949,""Dragon Souveniers, Ltd."",+65 221 7555,""Bronz Sok., Bronz Apt. 3/6 Tesvikiye"",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large",,,,,2014-01-31,,,,,,,,,,,,,,,,,,,
31,10163,21.0,100.0,1.0,4860.24,2014-02-01,Shipped,4.0,10.0,2003.0,Classic Cars,214.0,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Medium
32,"10174,34,100,4,8014.82,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,""Australian Gift Network, Co"",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large",,,,,2014-02-02,,,,,,,,,,,,,,,,,,,
33,"10183,23,100,8,5372.57,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,""Classic Gift Ideas, Inc"",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium",,,,,2014-02-03,,,,,,,,,,,,,,,,,,,
34,"10194,42,100,11,7290.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,""Saveley & Henriot, Co."",78.32.5555,""2, rue du Commerce"",,Lyon,,69004,France,EMEA,Saveley,Mary,Large",,,,,2014-02-04,,,,,,,,,,,,,,,,,,,
35,10206,47.0,100.0,6.0,9064.89,2014-02-05,Shipped,4.0,12.0,2003.0,Classic Cars,214.0,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large
36,10215,35.0,100.0,3.0,6075.3,2014-02-06,Shipped,1.0,1.0,2004.0,Classic Cars,214.0,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,Medium
37,10228,29.0,100.0,2.0,6463.23,2014-02-07,Shipped,1.0,3.0,2004.0,Classic Cars,214.0,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium
38,10245,34.0,100.0,9.0,6120.34,2014-02-08,Shipped,2.0,5.0,2004.0,Classic Cars,214.0,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium
39,"10258,32,100,6,7680.64,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,214,S10_1949,""Tokyo Collectables, Ltd"",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large",,,,,2014-02-09,,,,,,,,,,,,,,,,,,,
40,"10270,21,100,9,4905.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,""Monitor Money Building, 815 Pacific Hwy"",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium",,,,,2014-02-10,,,,,,,,,,,,,,,,,,,
41,10280,34.0,100.0,2.0,8014.82,2014-02-11,Shipped,3.0,8.0,2004.0,Classic Cars,214.0,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
42,10291,37.0,100.0,11.0,7136.19,2014-02-12,Shipped,3.0,9.0,2004.0,Classic Cars,214.0,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
43,"10304,47,100,6,10172.7,10/11/2004 0:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,""67, avenue de l'Europe"",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large",,,,,2014-02-13,,,,,,,,,,,,,,,,,,,
44,10312,48.0,100.0,3.0,11623.7,2014-02-14,Shipped,4.0,10.0,2004.0,Classic Cars,214.0,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large
45,10322,40.0,100.0,1.0,6000.4,2014-02-15,Shipped,4.0,11.0,2004.0,Classic Cars,214.0,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium
46,10333,26.0,100.0,3.0,3003.0,2014-02-16,Shipped,4.0,11.0,2004.0,Classic Cars,214.0,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium
47,"10347,30,100,1,3944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,""Australian Collectors, Co."",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium",,,,,2014-02-17,,,,,,,,,,,,,,,,,,,
48,10357,32.0,100.0,10.0,5691.84,2014-02-18,Shipped,4.0,12.0,2004.0,Classic Cars,214.0,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
49,10369,41.0,100.0,2.0,4514.92,2014-02-19,Shipped,1.0,1.0,2005.0,Classic Cars,214.0,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium
50,10381,36.0,100.0,3.0,8254.8,2014-02-20,Shipped,1.0,2.0,2005.0,Classic Cars,214.0,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Large
51,"10391,24,100,4,2416.56,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars,214,S10_1949,""Anna's Decorations, Ltd"",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small",,,,,2014-02-21,,,,,,,,,,,,,,,,,,,
52,10411,23.0,100.0,9.0,4140.23,2014-02-22,Shipped,2.0,5.0,2005.0,Classic Cars,214.0,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium
53,"10424,50,100,6,12001,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,""C/ Moralzarzal, 86"",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large",,,,,2014-02-23,,,,,,,,,,,,,,,,,,,
54,10107,39.0,99.91,5.0,3896.49,2014-02-24,Shipped,1.0,2.0,2003.0,Motorcycles,118.0,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
55,"10120,29,96.34,3,2793.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,118,S10_2016,""Australian Collectors, Co."",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small",,,,,2014-02-25,,,,,,,,,,,,,,,,,,,
56,10134,27.0,100.0,5.0,3307.77,2014-02-26,Shipped,3.0,7.0,2003.0,Motorcycles,118.0,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
57,10145,37.0,100.0,9.0,5192.95,2014-02-27,Shipped,3.0,8.0,2003.0,Motorcycles,118.0,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium
58,10159,37.0,100.0,17.0,5016.83,2014-02-28,Shipped,4.0,10.0,2003.0,Motorcycles,118.0,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
59,10168,27.0,100.0,4.0,3660.93,2014-03-01,Shipped,4.0,10.0,2003.0,Motorcycles,118.0,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
60,"10180,42,100,12,4695.6,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,""184, chausse de Tournai"",,Lille,,59000,France,EMEA,Rance,Martine,Medium",,,,,2014-03-02,,,,,,,,,,,,,,,,,,,
61,"10188,38,96.34,4,3660.92,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,""Drammen 121, PR 744 Sentrum"",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium",,,,,2014-03-03,,,,,,,,,,,,,,,,,,,
62,10201,24.0,100.0,5.0,3025.92,2014-03-04,Shipped,4.0,12.0,2003.0,Motorcycles,118.0,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium
63,"10210,23,100,2,3009.09,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,""Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku"",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium",,,,,2014-03-05,,,,,,,,,,,,,,,,,,,
64,"10223,47,100,4,5422.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,118,S10_2016,""Australian Collectors, Co."",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium",,,,,2014-03-06,,,,,,,,,,,,,,,,,,,
65,10236,22.0,100.0,1.0,2852.08,2014-03-07,Shipped,2.0,4.0,2004.0,Motorcycles,118.0,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small
66,10251,44.0,100.0,5.0,5756.52,2014-03-08,Shipped,2.0,5.0,2004.0,Motorcycles,118.0,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium
67,10263,40.0,100.0,5.0,4472.0,2014-03-09,Shipped,2.0,6.0,2004.0,Motorcycles,118.0,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium
68,"10275,22,100,4,2904.44,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,""67, rue des Cinquante Otages"",,Nantes,,44000,France,EMEA,Labrune,Janine,Small",,,,,2014-03-10,,,,,,,,,,,,,,,,,,,
69,10285,47.0,100.0,9.0,6484.59,2014-03-11,Shipped,3.0,8.0,2004.0,Motorcycles,118.0,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
70,"10298,39,96.34,1,3757.26,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,""54, rue Royale"",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium",,,,,2014-03-12,,,,,,,,,,,,,,,,,,,
71,10308,34.0,100.0,2.0,4043.96,2014-03-13,Shipped,4.0,10.0,2004.0,Motorcycles,118.0,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium
72,10318,45.0,100.0,4.0,5566.5,2014-03-14,Shipped,4.0,11.0,2004.0,Motorcycles,118.0,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium
73,10329,20.0,100.0,2.0,3176.0,2014-03-15,Shipped,4.0,11.0,2004.0,Motorcycles,118.0,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
74,"10339,40,68.92,4,2756.8,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,""Tokyo Collectables, Ltd"",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small",,,,,2014-03-16,,,,,,,,,,,,,,,,,,,
75,"10361,26,51.15,8,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,""Monitor Money Building, 815 Pacific Hwy"",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small",,,,,2014-03-17,,,,,,,,,,,,,,,,,,,
76,"10374,39,100,5,5288.01,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,118,S10_2016,""Australian Gift Network, Co"",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium",,,,,2014-03-18,,,,,,,,,,,,,,,,,,,
77,10388,50.0,44.51,5.0,2225.5,2014-03-19,Shipped,1.0,3.0,2005.0,Motorcycles,118.0,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small
78,"10402,45,100,1,5833.8,4/7/2005 0:00,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,""25, rue Lauriston"",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium",,,,,2014-03-20,,,,,,,,,,,,,,,,,,,
79,"10417,45,100,5,5887.35,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,""C/ Moralzarzal, 86"",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium",,,,,2014-03-21,,,,,,,,,,,,,,,,,,,
80,10107,27.0,100.0,4.0,6065.55,2014-03-22,Shipped,1.0,2.0,2003.0,Motorcycles,193.0,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
81,"10120,46,100,2,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,193,S10_4698,""Australian Collectors, Co."",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large",,,,,2014-03-23,,,,,,,,,,,,,,,,,,,
82,10134,31.0,100.0,4.0,7023.98,2014-03-24,Shipped,3.0,7.0,2003.0,Motorcycles,193.0,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large
83,10145,33.0,100.0,8.0,5176.38,2014-03-25,Shipped,3.0,8.0,2003.0,Motorcycles,193.0,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium
84,10159,22.0,100.0,16.0,4132.7,2014-03-26,Shipped,4.0,10.0,2003.0,Motorcycles,193.0,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
85,10168,20.0,100.0,3.0,4183.0,2014-03-27,Shipped,4.0,10.0,2003.0,Motorcycles,193.0,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
86,"10180,41,100,11,8892.9,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,""184, chausse de Tournai"",,Lille,,59000,France,EMEA,Rance,Martine,Large",,,,,2014-03-28,,,,,,,,,,,,,,,,,,,
87,"10188,45,100,3,8714.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,""Drammen 121, PR 744 Sentrum"",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large",,,,,2014-03-29,,,,,,,,,,,,,,,,,,,
88,10201,49.0,100.0,4.0,8065.89,2014-03-30,Shipped,4.0,12.0,2003.0,Motorcycles,193.0,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Large
89,"10210,34,100,1,6123.4,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,""Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku"",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium",,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
90,"10223,49,100,3,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,193,S10_4698,""Australian Collectors, Co."",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large",,,,,2014-04-01,,,,,,,,,,,,,,,,,,,
91,10237,39.0,100.0,9.0,7023.9,2014-04-02,Shipped,2.0,4.0,2004.0,Motorcycles,193.0,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large
92,10251,43.0,100.0,4.0,7078.23,2014-04-03,Shipped,2.0,5.0,2004.0,Motorcycles,193.0,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large
93,10263,41.0,100.0,4.0,8336.94,2014-04-04,Shipped,2.0,6.0,2004.0,Motorcycles,193.0,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Large
94,"10275,36,100,3,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,""67, rue des Cinquante Otages"",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium",,,,,2014-04-05,,,,,,,,,,,,,,,,,,,
95,10285,27.0,100.0,8.0,5438.07,2014-04-06,Shipped,3.0,8.0,2004.0,Motorcycles,193.0,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
96,"10299,29,100,11,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,193,S10_4698,""Toys of Finland, Co."",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium",,,,,2014-04-07,,,,,,,,,,,,,,,,,,,
97,10308,20.0,100.0,1.0,4570.4,2014-04-08,Shipped,4.0,10.0,2004.0,Motorcycles,193.0,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium
98,10318,37.0,100.0,3.0,7667.14,2014-04-09,Shipped,4.0,11.0,2004.0,Motorcycles,193.0,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Large
